USER_CODE,BTH_YR,GENDER,AGE
197895,1962,2,60
1536551,1966,1,56
132677,1985,2,37
674912,1989,1,33
510845,1965,2,57
261057,2000,1,22
1806092,1997,1,25
1629782,1957,2,65
1635632,1998,2,24
374094,1965,1,57
1639046,1959,1,63
1811515,1978,1,44
609625,1977,1,45
1723678,1966,2,56
1924729,1968,1,54
811745,1994,2,28
825172,1977,2,45
1606681,1958,2,64
1118610,1958,2,64
1339684,1970,1,52
1170058,1964,2,58
655792,1991,1,31
699014,1986,1,36
936249,1970,2,52
448419,2010,2,12
484483,1996,1,26
1536105,1996,1,26
785639,2001,1,21
1811959,1972,2,50
1734497,1965,1,57
1195544,1959,2,63
1229886,1998,1,24
445616,1989,1,33
1693355,1998,1,24
272436,1993,1,29
1558049,2009,2,13
660002,1979,1,43
1284680,2010,2,12
1182322,1968,1,54
196371,1987,2,35
1077215,1970,2,52
968893,1997,2,25
1834379,2002,1,20
1748226,1991,2,31
790157,1985,2,37
446874,1991,1,31
319906,1989,1,33
1598761,1973,1,49
785023,1963,1,59
326544,1971,1,51
1531804,1970,2,52
1027883,1988,1,34
531332,1986,2,36
1656109,2000,2,22
588221,1981,2,41
1039519,1971,1,51
393797,1964,2,58
1772573,1981,1,41
1704341,1968,2,54
1388660,1990,1,32
632581,1987,1,35
1432231,1987,2,35
1142508,2006,2,16
977253,1964,2,58
1589951,1989,1,33
989526,1994,2,28
400447,1984,2,38
1446891,1994,2,28
200583,1970,2,52
1463322,1968,1,54
1142016,1961,2,61
1267511,1986,2,36
1016071,1992,2,30
1065901,1989,2,33
36161,1986,1,36
1496884,1976,2,46
571820,1983,1,39
1198438,1997,2,25
1056376,1986,1,36
915430,1963,1,59
1034927,1992,2,30
1398790,1980,2,42
1854597,1987,1,35
1368287,1992,2,30
673925,1985,2,37
1574947,1998,1,24
1709593,1981,1,41
290123,1988,1,34
434397,1975,2,47
1028018,1973,1,49
706328,1972,2,50
1301769,1965,2,57
619199,1977,2,45
120533,1968,2,54
1409316,2006,1,16
1367689,1995,1,27
900676,1974,2,48
204846,1987,2,35
141055,1992,1,30
209043,1978,2,44
1932008,1986,1,36
327797,1959,1,63
1806945,1983,2,39
309310,1997,2,25
1324131,1989,2,33
981267,1957,2,65
129919,1987,2,35
512539,1975,2,47
1111942,1983,2,39
1905659,1989,1,33
1020092,1972,1,50
172031,1985,1,37
1518735,2003,2,19
328487,1986,2,36
1079447,1983,2,39
1615340,1984,1,38
658189,1969,2,53
781575,1988,1,34
1709607,1989,1,33
41003,2002,2,20
343919,1974,2,48
656179,1987,2,35
1907562,1968,2,54
1139090,1957,2,65
1563963,1975,2,47
1377988,1967,2,55
1367231,1992,2,30
918220,1980,1,42
1860364,1997,2,25
358075,1998,2,24
1474592,1968,2,54
1286218,1983,1,39
1323080,1995,2,27
1344326,1994,2,28
624120,1982,1,40
1441140,1984,2,38
1184335,1965,2,57
1147713,1991,1,31
1662921,1977,1,45
285810,1979,2,43
1615576,1988,1,34
489553,2003,1,19
1203612,1993,2,29
140421,1975,1,47
1202362,1997,1,25
741235,1986,2,36
1699443,1994,1,28
850241,1996,2,26
356277,1990,1,32
1478786,1966,1,56
517808,1968,1,54
827819,2000,1,22
121879,1997,2,25
607040,1983,2,39
1047583,1969,1,53
