CONTRACT_PK,USER_CODE,GIS_CD,CT_PY_AMT,CT_PY_PD,CT_CHNL_CD,INSU_DAY,INSU_YEAR,MGG_GRP
212,272436,24,22,40,1,14610,41,A95
213,1558049,31,27,10,6,3652,10,A95
214,660002,25,17,5,5,1826,5,A95
215,1284680,36,23,10,4,3653,11,A95
216,1182322,11,33,5,6,1826,5,A95
217,196371,31,26,10,1,3653,11,A95
218,1077215,31,58,10,1,3653,11,A95
219,968893,11,41,10,1,3653,11,A95
220,1834379,21,25,5,6,1826,5,A95
221,1834379,21,25,5,6,1826,5,A95
222,1748226,31,36,10,6,3652,10,A95
223,790157,21,84,10,1,3653,11,A95
224,446874,31,40,10,6,3653,11,A95
225,319906,31,29,10,6,3653,11,A95
226,1598761,25,54,20,2,14245,40,A95
227,785023,31,44,10,4,3653,11,A95
228,326544,23,31,5,6,1827,6,A95
229,326544,23,23,5,6,1826,5,A95
230,1531804,33,39,10,6,3653,11,A95
231,1531804,33,49,10,1,3652,10,A95
232,1027883,11,37,10,6,3653,11,A95
233,531332,32,20,10,6,3652,10,A95
234,1656109,38,19,5,4,1826,5,A95
235,588221,38,38,10,6,3653,11,A95
236,1039519,11,43,5,6,1826,5,A95
237,393797,23,43,10,6,3653,11,A95
238,1772573,23,29,5,6,1827,6,A95
239,1772573,23,24,5,6,1826,5,A95
240,1704341,11,30,16,1,5844,17,A95
241,1388660,22,21,10,6,3653,11,A95
242,632581,37,19,10,3,3653,11,A95
243,632581,22,19,10,3,3653,11,A95
244,1432231,37,42,10,6,3653,11,A95
245,1432231,37,29,10,6,3652,10,A95
246,1142508,36,16,5,1,1826,5,A95
247,977253,31,54,20,1,8766,25,A95
248,1589951,11,19,10,6,3653,11,A95
249,1589951,11,16,10,6,3652,10,A95
250,989526,31,28,10,6,19358,54,A95
251,400447,31,34,5,6,1827,6,A95
252,400447,31,35,5,6,1826,5,A95
253,1446891,22,25,10,6,3652,10,A95
254,200583,31,45,5,6,1826,5,A95
255,200583,31,58,5,6,1826,5,A95
256,1463322,31,43,5,3,1826,5,A95
257,1463322,31,62,5,3,1826,5,A95
258,1142016,35,30,10,6,3652,10,A95
259,1267511,25,12,5,1,1826,5,A95
260,1267511,25,18,5,1,3653,11,A95
261,1016071,31,35,5,6,1827,6,A95
262,1065901,25,29,10,6,3653,11,A95
263,36161,31,30,10,6,3653,11,A95
264,1496884,31,35,10,6,3653,11,A95
265,571820,31,30,5,6,1827,6,A95
266,571820,31,25,5,6,1826,5,A95
267,1198438,26,24,15,1,5479,16,A95
268,1056376,26,26,5,6,1826,5,A95
269,1056376,26,30,5,6,1827,6,A95
270,915430,31,46,5,6,1827,6,A95
271,915430,31,33,5,6,1826,5,A95
272,1034927,24,20,10,6,3652,10,A95
273,1398790,36,48,10,3,3653,11,A95
274,1854597,36,25,10,6,3652,10,A95
275,1854597,36,23,10,6,3653,11,A95
276,1368287,11,19,15,4,5479,16,A95
277,673925,11,30,10,6,3652,10,A95
278,1574947,31,12,10,6,3653,11,A95
279,1709593,11,34,10,1,3653,11,A95
280,290123,35,45,5,3,1827,6,A95
281,434397,31,54,10,3,3653,11,A95
282,1028018,33,23,10,6,3652,10,A95
283,706328,34,25,5,6,1827,6,A95
284,1301769,38,5,10,6,3653,11,A95
285,1301769,38,18,10,6,3652,10,A95
286,619199,36,46,5,6,1826,5,A95
287,120533,33,85,5,3,1827,6,A95
288,1409316,33,43,20,1,23011,64,A95
289,1367689,11,35,10,6,3653,11,A95
290,900676,31,53,5,6,1826,5,A95
291,204846,21,11,10,6,3653,11,A95
292,204846,21,29,10,6,3652,10,A95
293,141055,11,34,10,6,3652,10,A95
294,209043,22,67,15,6,5479,16,A95
295,1932008,32,32,10,3,16802,47,A95
296,327797,31,52,15,1,5479,16,A95
297,1806945,24,22,5,5,1826,5,A95
298,309310,38,18,10,6,3652,10,A95
299,1324131,23,23,10,6,3652,10,A95
300,981267,11,54,20,2,7670,21,A95
301,129919,23,40,10,6,3653,11,A95
302,512539,35,53,10,4,3652,10,A95
303,1111942,11,29,15,6,5479,16,A95
304,1111942,31,36,10,6,3653,11,A95
305,1905659,31,21,10,1,3652,10,A95
306,1020092,31,75,5,6,1826,5,A95
307,172031,25,33,10,6,3652,10,A95
308,1518735,33,45,5,1,1826,5,A95
309,328487,23,22,10,6,3653,11,A95
310,328487,23,12,10,6,3653,11,A95
311,1079447,31,13,5,1,1827,6,A95
312,1615340,11,39,10,3,3653,11,A95
313,658189,31,43,5,6,1826,5,A95
314,658189,31,35,5,6,1827,6,A95
315,781575,11,20,10,6,3653,11,A95
316,1709607,31,15,5,1,3652,10,A95
317,41003,37,23,10,1,3652,10,A95
318,343919,31,29,20,3,8036,23,A95
319,656179,33,24,10,6,3652,10,A95
320,1907562,21,42,5,6,1826,5,A95
321,1907562,21,42,5,6,1826,5,A95
322,1139090,33,70,10,6,3652,10,A95
323,1563963,34,36,5,6,1827,6,A95
324,1563963,34,27,5,6,1826,5,A95
325,1377988,11,83,20,1,11323,32,A95
326,1367231,22,22,45,1,16436,46,A95
327,918220,11,18,10,6,3653,11,A95
328,1860364,11,20,10,6,20089,56,A95
329,358075,31,25,10,6,3652,10,A95
330,1474592,31,52,10,1,8766,25,A95
331,1286218,32,29,10,6,3653,11,A95
332,1323080,23,18,10,3,3653,11,A95
333,1344326,31,13,10,6,3652,10,A95
334,624120,37,35,5,3,1826,5,A95
335,1441140,21,28,10,6,3653,11,A95
336,1184335,22,51,5,6,1826,5,A95
337,1147713,31,19,10,3,3652,10,A95
338,1662921,31,27,10,6,3653,11,A95
339,285810,26,24,10,3,3652,10,A95
340,1615576,31,27,10,6,3652,10,A95
341,489553,23,30,20,6,7305,21,A95
342,1203612,31,12,10,6,3652,10,A95
343,1203612,31,11,10,6,3652,10,A95
344,140421,11,36,5,3,1827,6,A95
345,1202362,34,20,10,6,3652,10,A95
346,741235,34,16,5,1,3652,10,A95
347,1699443,22,12,5,5,1826,5,A95
348,850241,32,10,5,1,1826,5,A95
349,850241,32,13,5,1,3653,11,A95
350,356277,24,9,10,6,3652,10,A95
351,356277,24,9,5,5,3652,10,A95
352,356277,24,20,10,6,3653,11,A95
353,1478786,31,24,10,6,3653,11,A95
354,517808,11,52,10,6,3652,10,A95
355,827819,21,26,20,1,22280,62,A95
356,121879,31,22,10,6,3652,10,A95
357,607040,34,46,10,99,3653,11,A95
358,1047583,31,31,10,6,3653,11,A95
359,1047583,31,28,10,6,3652,10,A95
360,1489875,11,26,10,6,3652,10,A95
361,994168,21,40,10,6,3652,10,A95
362,283612,11,58,5,6,1827,6,A95
363,1725878,31,74,20,2,13880,39,A95
364,1490461,37,30,5,1,3652,10,A95
365,332911,38,26,10,6,3653,11,A95
366,375039,31,43,20,4,12053,33,A95
367,1905011,23,36,10,6,3653,11,A95
368,1905011,11,6,10,6,3653,11,A95
369,326768,31,22,5,3,1827,6,A95
370,326768,31,22,5,3,1826,5,A95
371,1795061,11,5,10,6,3652,10,A95
372,1795061,11,6,10,6,3652,10,A95
373,1795061,11,15,10,6,3653,11,A95
374,1039864,23,39,10,3,3653,11,A95
375,1900536,21,37,40,1,14610,41,A95
376,1100981,38,41,10,6,3653,11,A95
377,1025061,31,17,5,4,1827,6,A95
378,1025061,31,16,5,4,1826,5,A95
379,1200690,31,28,5,1,3652,10,A95
380,1070726,22,50,10,1,14975,42,A95
381,977838,36,50,10,6,3653,11,A95
382,977838,36,24,10,6,3652,10,A95
383,1124896,33,42,10,6,3653,11,A95
384,1571044,24,31,5,6,1826,5,A95
385,1785926,24,43,10,1,6575,19,A95
386,1785926,24,47,10,1,6575,19,A95
387,1179572,11,40,10,6,3653,11,A95
388,467231,23,16,5,1,1826,5,A95
389,306039,37,70,15,1,5479,16,A95
390,1939909,39,24,5,6,1826,5,A95
391,848274,31,46,5,6,1827,6,A95
392,848274,31,33,5,6,1826,5,A95
393,1808883,24,20,5,4,1826,5,A95
394,1808883,24,21,5,4,1826,5,A95
395,789330,32,32,5,6,1826,5,A95
396,789330,32,32,5,6,1826,5,A95
397,1514833,33,41,10,6,3653,11,A95
398,963586,21,10,10,6,3652,10,A95
399,125343,23,37,10,6,3653,11,A95
400,585402,31,27,10,6,3653,11,A95
401,1049973,11,28,5,3,1827,6,A95
402,1012462,24,18,5,1,3652,10,A95
403,170712,34,24,10,6,3652,10,A95
404,170712,34,24,10,6,3652,10,A95
405,1046342,23,37,5,6,1826,5,A95
406,1046342,23,37,5,6,1826,5,A95
407,1645851,26,28,10,6,3653,11,A95
408,168037,36,13,10,6,3652,10,A95
409,1066560,39,30,20,1,7305,21,A95
410,1449554,37,45,10,1,3653,11,A95
411,1449554,37,19,5,3,1826,5,A95
412,1449554,37,19,5,3,1826,5,A95
413,669235,31,21,10,6,3652,10,A95
414,623214,37,26,10,6,3653,11,A95
415,1842898,31,19,10,3,3652,10,A95
416,565077,37,26,10,6,3653,11,A95
417,565077,37,11,10,6,3653,11,A95
418,32687,37,36,5,6,1826,5,A95
419,710887,33,31,10,6,3653,11,A95
420,710887,33,13,10,6,3653,11,A95
421,1417587,22,34,10,6,3653,11,A95
422,942799,36,37,10,6,3652,10,A95
423,384678,34,22,10,6,3652,10,A95
424,644600,31,34,10,6,3652,10,A95
425,1264725,24,25,10,3,3652,10,A95
426,1856768,11,18,5,1,3652,10,A95
427,840001,32,20,5,6,1826,5,A95
428,840001,32,46,5,6,1827,6,A95
429,840001,32,46,5,6,1827,6,A95
430,853949,38,59,10,1,3653,11,A95
431,1948447,31,23,5,3,1826,5,A95
432,234126,21,17,5,1,3652,10,A95
433,1121660,11,27,10,6,3652,10,A95
434,1121660,11,12,10,6,3652,10,A95
435,1121660,11,12,10,6,3652,10,A95
436,1054107,26,16,15,6,5479,16,A95
437,569274,31,29,15,1,5479,16,A95
438,569274,23,25,10,6,3653,11,A95
439,1512049,22,46,5,6,1826,5,A95
440,1512049,22,46,5,6,1826,5,A95
441,4949,31,18,10,6,3652,10,A95
442,4949,31,3,10,6,3653,11,A95
443,1386470,23,34,20,2,16802,47,A95
444,67573,34,24,5,4,1827,6,A95
445,878088,31,23,20,6,7305,21,A95
446,1160863,31,45,15,3,5844,17,A95
447,431368,11,42,10,6,3653,11,A95
448,1761954,38,32,10,6,3653,11,A95
449,318480,23,19,5,3,1826,5,A95
450,318480,23,16,5,3,1827,6,A95
451,236483,11,25,5,3,1826,5,A95
452,1233137,31,33,10,6,3653,11,A95
453,185972,25,24,10,6,3652,10,A95
454,1090375,11,40,5,1,22646,63,A95
455,1447203,34,25,10,6,3653,11,A95
456,1447203,34,28,10,6,3653,11,A95
457,1447203,34,25,10,6,3652,10,A95
458,1447203,34,28,10,6,3652,10,A95
459,1353008,33,27,10,1,3653,11,A95
460,1033639,38,44,20,6,7305,21,A95
461,529916,36,39,10,6,3652,10,A95
462,363907,31,35,10,6,3653,11,A95
463,395368,38,23,5,1,1826,5,A95
464,875532,25,10,5,1,3652,10,A95
465,1818094,38,28,15,1,5479,16,A95
466,986663,31,37,10,6,3652,10,A95
467,441960,33,82,5,4,1826,5,A95
468,441960,33,82,5,4,1826,5,A95
469,410700,34,22,10,6,3653,11,A95
470,641430,23,49,5,6,1827,6,A95
471,641430,23,36,5,6,1826,5,A95
472,1505416,23,19,5,5,1826,5,A95
473,1505416,23,23,10,6,3652,10,A95
474,1749042,31,6,5,6,1827,6,A95
475,1749042,31,19,5,6,1827,6,A95
476,1749042,31,18,5,6,1826,5,A95
477,1044984,31,27,15,6,5479,16,A95
478,96894,11,24,20,6,7305,21,A95
479,1956550,25,41,20,1,7305,21,A95
480,1211556,34,50,10,1,3653,11,A95
481,744031,31,23,10,6,3653,11,A95
482,355663,11,32,10,3,3652,10,A95
483,1098653,34,37,5,6,1826,5,A95
484,1168641,11,21,10,6,3652,10,A95
485,1085277,11,19,5,6,1826,5,A95
486,994512,11,49,5,6,1826,5,A95
487,796573,31,69,10,6,3652,10,A95
488,498737,22,24,15,6,5479,16,A95
489,824866,38,28,10,1,3653,11,A95
490,425608,11,30,10,6,3652,10,A95
491,1379177,31,52,5,3,1826,5,A95
492,1379177,31,64,5,3,1827,6,A95
493,295923,31,67,10,1,3653,11,A95
494,1191154,38,29,5,6,1826,5,A95
495,1191154,38,30,5,6,1826,5,A95
496,1191154,21,40,10,6,3652,10,A95
497,1897539,31,36,10,6,3652,10,A95
498,1763772,33,20,15,6,5479,16,A95
499,314031,11,20,5,6,1826,5,A95
500,432486,11,30,10,6,3652,10,A95
501,205021,11,20,15,6,5479,16,A95
502,1502320,31,30,10,6,3653,11,A95
503,1502320,31,30,10,6,3653,11,A95
504,1289967,31,14,5,6,1826,5,A95
505,1903199,11,40,10,6,3652,10,A95
506,1412659,11,31,5,6,1826,5,A95
507,1038922,36,55,10,6,3652,10,A95
508,424530,31,25,15,6,5478,15,A95
509,1734615,11,41,10,3,3653,11,A95
510,1401700,24,10,5,5,3652,10,A95
511,983006,22,26,10,6,3652,10,A95
512,421671,23,60,10,1,3653,11,A95
513,1956868,31,22,5,6,1826,5,A95
514,1608817,31,56,15,1,5479,16,A95
515,812784,38,40,10,6,3653,11,A95
516,89367,32,53,10,3,16437,46,A95
517,1093790,32,43,20,1,20454,57,A95
518,67524,39,24,5,6,1826,5,A95
519,67524,39,42,10,6,3653,11,A95
520,339188,11,36,10,6,3653,11,A95
521,749138,31,34,10,1,3653,11,A95
522,1734634,39,37,5,1,1826,5,A95
523,163798,22,50,5,3,1826,5,A95
524,163798,22,65,5,3,1827,6,A95
525,1692140,25,46,15,1,5479,16,A95
526,286401,31,30,10,99,16436,46,A95
527,436446,38,65,10,3,3652,10,A95
528,1728168,21,46,5,3,1826,5,A95
529,72566,38,11,5,5,3653,11,A95
530,72566,38,8,5,5,1826,5,A95
